Imaginary,Real
-0.409755,-0.250161
-0.414866,-0.240909
-0.419767,-0.231562
-0.424457,-0.222125
-0.428935,-0.212603
-0.4332,-0.202999
-0.437251,-0.193319
-0.441086,-0.183568
-0.444705,-0.17375
-0.448106,-0.16387
-0.451289,-0.153932
-0.454254,-0.143942
-0.456999,-0.133903
-0.459525,-0.123821
-0.46183,-0.1137
-0.463915,-0.103545
-0.465779,-0.0933605
-0.467422,-0.0831511
-0.468844,-0.0729213
-0.470046,-0.062676
-0.471027,-0.0524195
-0.471788,-0.0421566
-0.472328,-0.0318917
-0.472649,-0.0216295
-0.472751,-0.0113743
-0.472634,-0.00113072
-0.4723,0.00909679
-0.471748,0.0193038
-0.47098,0.0294859
-0.469997,0.0396388
-0.468799,0.049758
-0.467388,0.0598392
-0.465765,0.0698782
-0.463931,0.0798707
-0.461888,0.0898124
-0.459637,0.0996993
-0.457179,0.109527
-0.454516,0.119292
-0.451649,0.128989
-0.448581,0.138615
-0.445312,0.148166
-0.441846,0.157638
-0.438183,0.167027
-0.434327,0.176328
-0.430278,0.185539
-0.426038,0.194656
-0.421611,0.203674
-0.416999,0.21259
-0.412203,0.221401
-0.407226,0.230103
-0.402071,0.238692
-0.39674,0.247165
-0.391235,0.255519
-0.38556,0.26375
-0.379717,0.271855
-0.373708,0.27983
-0.367537,0.287673
-0.361206,0.29538
-0.354718,0.302949
-0.348077,0.310376
-0.341285,0.317658
-0.334345,0.324793
-0.32726,0.331777
